SentimentText,prediction
Watching one of my favorites The Matrix relaxing before my next stream! Stay Tuned for updates &amp; thank you for your continued support! #thematrix #neo #moviescenes #movies #keanureeves #relaxing #chill #hotday #summer #classic #stonedpilot420 https://t.co/qVDyqoUlma,2.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",1.0
virtual girl sex movie sex girl sites chats adulto cassie young porn hot nude lesbian girls girls mud ex  https://t.co/IAtbfwmWac,2.0
@MarkRubello @RealSaavedra How is this calling for anything more violent than protest? Was it assault when SHS was asked to leave a restaurant? No. Was it violence when folks heckled FL's crooked AG at the movies? No.,0.0
I feel like watching the newest Star Trek movies but I also want to continue my binge watch of Parks and Recreation. #decisionsdecisions,0.0
sex magik blogspot looney toon sex hot wifes sex job as a porn star pregnant porn creampie sex movies of  https://t.co/fEn5T6IHvr,2.0
Maybe now that they can go to the movies and can wear bright clothes and hijab in public they’ll finally treat their maids and nanny with human decency. https://t.co/nUND8G4EaQ,0.0
RT @msamson56: 💗JUST FOR LOVE 💗 A beautiful instrumental song that would make a great movie soundtrack. Written and performed by the amazin…,2.0
"RT @Nash076: I'm pretty sure all of those \"Now I know bigotry/racism/homophobia was wrong and I'm sorry and I love you now\" movies have jus…",0.0
"A #free 30-day trial to Amazon's fabulous unlimited video collection of usic and movies. Loads foe everyone! https://t.co/8Qe5vk2tqE monetise, affiliate links, making money online https://t.co/KPnCEsVvcK",0.0
2018 #Summer Movies In The Park Announced - KHTS Radio https://t.co/B5l0hpHCqL https://t.co/PYJItI48pw,1.0
wow okay tag was actually a really funny and cute movie,2.0
RT @YouLoveHelenaP: Thank you for buying! Helena Home Movies 3 Full Video BBC Date https://t.co/gIGaBsvuKI #ManyVids https://t.co/AhNDW4Qtfn,2.0
Sitting her sobbing after watching Midnight Sun😭 such a good movie! Almost like a modern Walk to Remember! @bellathorne @MidnightSun_Mov,2.0
"Audrey in Nun's Story. Ironically, the Belgium Nun that Audrey played in this movie was her nurse when Audrey Hepburn broke her back and had a miscarriage from a horse riding accident… https://t.co/ZLVxyzRE41",0.0
RT @chelsietayyllor: Cast me in your next vampire movie https://t.co/VxiKezWNtw,2.0
RT @dickolasgrayon: *Movie literally called death of Superman* Me: Lol k Superman dies  Me: https://t.co/eoCDc1gwKY,1.0
RT @MollyOglesbee: Don’t get me wrong I like to get hammered as well as the next guy does but if you say movie night and pjs while eating j…,0.0
RT @K_Lee777: TRUMP-FRIENDLY FLORIDA AG PAM BONDI DRIVEN OUT OF MOVIE THEATER https://t.co/axvlMwLN19 @thebestcloser #CloserNation #Closers…,2.0
Superfly is a pretty good movie ‼️,2.0
RT @DiamondandSilk: Looks like the racist democrats are acting like they're back in the the day when they used the KKK to harassed and inti…,0.0
"RT @CaptainSW0LL: What an amazing movie! It was incredible! So many emotions; made me cry, made me laugh. It was action packed and I loved…",2.0
Time for #JurassicWorld !! My roomies and I favorite movie literally so excited for this 😍🦖❤️❤️,2.0
"RT @sterlingquill: Look, @nbc. I’m not gonna lie. A movie isn’t ideal. I’d rather #SaveTimeless and get ten more seasons of this wonderful…",0.0
The Purge movies were never a great idea but showing how the Purge began during our current administration is just plain irresponsible.,0.0
All The President’s Men with Bill Nighy as Ben Bradlee https://t.co/4rTNQs4K5o,1.0
RT @accio4thaccount: I'm still salty over this HE COULD HAVE FIT! but I had too 😆 hopefully rose doesn't let go like she does in the movie…,0.0
Interesting movies : #3: ジュマンジ/ウェルカム・トゥ・ジャングル ブルーレイ &amp; DVDセット [Blu-ray] https://t.co/ZqY90GPHTi https://t.co/YfjZHiAeCF,1.0
BIG MOVIE🍿 🎥 🤩💎#Marvelous droppin Sunday 7/01/18 on IGTV jus_beatz &amp; JoveeBenjaminz prod. @djcosmos_ shot by 🎬ope.visualz @DamiJPG @VisualsbyVargas #CODE #JuSBeatZ #CODEFilmZ https://t.co/ZCXfaGBgKz,2.0
@scottEweinberg This is like watching a movie at home with my wife.,0.0
Just got carded at Studio Movie 🎥 Grill ... it’s a great day!!,2.0
"@thejedijunkyard @IamNea @tomhsource the real question is that \"home\" has two meanings in the first movie, since 'homecoming' is the prom in american high school and spideynis actually coming home to marvel studios, so they only wanted to continue with the word instead for 'field trip' like was the rumors",2.0
RT @ColeCaughern: Be the pick you up at 8 for dinner and movie guy.. not the hey come over and hang at 11:50 guy...,0.0
I liked a @YouTube video https://t.co/ypDQ6SlvoA Tranquilizer to the Jugular - Old School (8/9) Movie CLIP (2003) HD,1.0
😪 https://t.co/YJo9XqNgAE,1.0
"RT @NewTSage: Any cartoon or movie we grew up watching \"underrated\" on here https://t.co/w69gou4RM7",1.0
RT @nkyshk: 忙しい月末ですが映画「ラスト・ホールド！」にエネルギーもらったから乗り切れます！ありがとう応援上映！！！  https://t.co/351HfrZSQV #ラストホールド https://t.co/jMAmHbMmU5,1.0
why r lesbians always killed in horror movies like i know its for the creepy sex appeal but in reality lesbians are the Overlords who will Always Win. WE LOVE THE GAYS!,2.0
RT @heroaca_anime: 各映画館で8/3(金)全国ロードショー『僕のヒーローアカデミア THE MOVIE 〜2人の英雄(ヒーロー)〜』の予告編の上映がスタート！大スクリーンでぜひチェックしてください。 夏の公開に向けて更に向こうへ、Plus Ultra!!  #…,0.0
RT @ILoveBeinBlack: The guy from the movie GET OUT is still lost in the head bruh   WTF 💀💀😂💀😂😂 #BETAwards https://t.co/udk6oVvzL2,0.0
Tried so hard to finish Blade Runner 2049. It is so slow and hard to follow.  Horrible script and writing. #BladeRunner2049 @RyanGosling is great but this movie just blows.,2.0
"RT @HistoryInPix: The shooting one of the most iconic moments in movie history, 1997. https://t.co/gfewy7Tfqi",2.0
